Company Name,Predict
Valetude Primus Healthcare Pvt Ltd,No
Wera Food Technology Pvt ltd,Yes
Stownest Storage,No
Rucept Inc,No
Unicornready,No
NIB Edusoft Private Limited,No
ABC Talkies Pvt. Ltd.,No
ESTREE Iron services; empower women,No
Sprint Medical,No
Taher Rubber And Engineering Co,No
Lattu kids,No
NUOS Home Automation,No
Parwell Logics Pvt Ltd,No
IBA CRAFTS PVT LTD,No
INTAP TEHNOLOGIES PRIVATE LIMITED,Yes
TRaiCE Inc,Yes
Aveti Learning Pvt. Ltd.,No
Supolabs,No
Togslive solutions pvt. Ltd,No
DIGISAS PRIVATE LIMITED,No
Super Centurion Technologies Private Limited,No
Wearit Trends Private Limited,No
Insurance Samadhan,Yes
Learning Spiral Pvt Ltd,No
TheDocWeb,No
Quollab,No
Saigeware Technologies Private Limited,Yes
Nova Benefits,Yes
Payme India,No
Rgyan,No
Soulmate(âmesœur),No
Consuma,Yes
Wisemindz Ventures Pvt. Ltd,No
DHANVANTRI BIOMEDICAL,No
LittleBird,No
AryuPay,No
Pretture,Yes
Anvayaa Kin Care Pvt Ltd,No
Xamplay Edutech Private Limited,No
Adinath Industrial Input,Yes
FamPay,No
Les Aider Wellness LLP,No
Vyorius Drones Private Limited,Yes
SAFE INDIA,No
alphaTUB,No
Unicus Technologies,No
Shahid grous,Yes
Eshopbox,No
BridgitalNation Ed-Tech Learning Solutions,No
CustomerGlu,Yes
ARFICUS - COVTREAT,No
Bandar Mithai Traditional Home Foods,No
Karpine,No
The Eva Concierge,No
Infinizy Global Solutions,No
Courpedia,No
Greennation FARM,Yes
Intern Stump LLP,No
Metafora Health Service Pvt Ltd,No
Alippo,No
Notion51 Digital Technologies pvt ltd,No
BUNNETSKYTON TECHNOSOFT PRIVATE LIMITED,No
Radhika ngo guna m p,Yes
Yearbook Canvas,No
Cleantech Water,No
Ashaya,No
Cyboard Edtech Pvt Ltd,No
Sree Sadhguru Innovations,No
Medera Global,No
Bold Care,No
Brick&Bolt,No
Virtual Cyber Labs,No
CerboTech Education Private Limited,No
Insightly Analytics,No
red reality,No
Manikandan,No
Manikandan,No
NANO BIO GRAPHITES PRIVATE LIMITED,No
ClickTouch Technologies (Edutek Infosystems Pvt Ltd),No
Mass Trans Express,No
1st Main,No
Rds Media,No
VGMSecurity,No
HINNTS Consultancy Services PVT LTD,No
Zuper,Yes
Pitcraft Private Limited,No
Sritha IT Services Private Limited,No
Blingg,No
Atlantech Online services,No
Hardware Shack Private Limited,No
cheermap foods pvt ltd,No
Reyfeber,No
bitsCrunch,Yes
Arcana Network,Yes
Onecode,No
Qfuss,No
Doctunes Audiotech Private Limited,No
Pragati Agrotech,Yes
Gobasket Agrotech Pvt Ltd,No
Ezyloads Logistics Pvt Ltd,Yes
VuNet Systems Private Limited,Yes
Wylo,No
AVES School of Arts Pvt Ltd,No
BharatAgri,No
SpeakIn Communications Private Limited,No
Nexapp Technologies Pvt Ltd,No
Vajro India Private Limited,No
Cropin,Yes
Learn and Empower Pvt Ltd,No
Breakout,No
Aisle Network Private Limited,No
Easy Eat,No
Amberstudent,No
BOT Shreyasi,Yes
PillarPlus,Yes
Light Information Systems Pvt. Ltd.,Yes
Troteasy,No
Treehouse Ventures Private Limited (VA-YU),Yes
MNTREE ASSET MANAGEMENT,No
OKR Stars Private Limited,No
BRIOTA Technologies Private Limited,No
Farms2Families,No
DENTAMITRA HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,No
ROBOKRITI INDIA PRIVATE LIMITED,No
Addverb Technologies,Yes
Farmonaut Technologies Private Limited,No
Riskcovry (UMBO IDTECH PVT. LTD.),Yes
Tenantcube,Yes
Work Companion,No
Wonderhood,Yes
Fitelo,No
Board Infinity,No
Muzigal,No
SunFuel Electric,Yes
Pro Recce,No
MachineMaze,No
FlipItNews,No
Wemind Healthy,No
Ungear,No
Wise Owl Learning,No
Pradarbha,No
CoRover Private Limited,Yes
xIoTz private limited,No
Apprison,No
DcodeAI Private Limited,No
Mahagram,No
Aiosell Technologies Pvt Ltd,No
Swipez,Yes
Hypd,No
Flo Mobility,Yes
Xpresslane,No
immischoolofmakeup,No
PULSE PRO,No
BigSaleDeals,No
mesha,No
KURTLE TECHNOLOGIES PVT. LTD,Yes
WHATSLOAN-WTSLN Fintech Private Limited,No
Mandala Network,No
Helficare Private Limited,No
PublicNext,No
My Next Exam,Yes
The Purchase House ( Trebax Solutions Pvt Ltd ),Yes
Gramophone,No
Enalytix,No
IML Sports,No
Health Gennie,No
SAKAYU,No
eSthenos Technologies Pvt. Ltd.,Yes
SaveSoul,No
Evergreen Club,No
VaultPe,No
Contus MirrorFly,Yes
SafeStorage,No
Cynosure Technologies Pvt Ltd,No
Nyus,No
Efficient Works Technologies Private Limited,No
Rysecamp Technology Private Limited,No
Youth Space Technology,Yes
Share At Door Step,No
DARTERS INDIA RESORT Pvt LtdPRIVATE LIMITED,Yes
RSIN FlexiRentals Pvt Ltd,Yes
JumboTiger,No
Celebratious,No
Harshit Jain,No
Corefactors,Yes
Practically,No
Wright Research,No
vBridge Hub,Yes
Mittihub Crafts Private Limited,No
QeApps,No
Brainly,No
FOODISM,No
METNMAT Innovations Pvt. Ltd.,No
Vyakta Consulting Services Private Limited,Yes
Magenta Connect Pvt Ltd,Yes
Saathi,No
EmbedSense Solutions Pvt Ltd,No
Marut Drones,Yes
Embedsense Solutions Private Limited,No
Vega HR,No
Cynosure Technologies Pvt. Ltd.,No
OrgLens Consultancy Private Limited,No
LetzRent- Rent Aggregators Pvt Ltd,No
Notefynd,No
AarogyaAI Innovations Private Limited,No
Zluri,Yes
Neokred,No
Scenes by Avalon,Yes
plan8,No
Mihup Communicatins Pvt. Ltd.,Yes
successgyan,No
Bigthinx,No
Synapsica Healthcare,Yes
FloBiz,Yes
Wisdom Tech Solutions Pvt Ltd,Yes
EduGorilla Community Private Limited,No
Virohan Pvt Ltd,Yes
CareerLabs Technologies Private Limited,No
ProBano,No
RUHE SOLUTIONS PRIVATE LIMITED,No
EDGENeural AI Pvt Ltd,Yes
FireLinks.IO,No
Efficient Works Technologies Private Limited,No
HappyMongo Online solution Pvt Ltd,No
LenDenClub,No
Atmax Technologies,No
GoPllay - Breathe Sports Pvt. Ltd.,No
KonfHub Technologies LLP,No
Kokru,No
SayCheese Technologies LLP,No
PARTOUT LOGISTICS PVT. LTD.,No
Half Dome Internet Pvt. Ltd.,No
Vibgyor Nextgen Technologies,No
Medulance Healthcare,No
Growfitter Private Limited,No
Skeps,No
Rev Your Soul - Kiara Motorsports Private Limited,No
Nanospan India Private Limited,Yes
SmartClean Technologies,Yes
CROSSFORGE SOLUTIONS PVT LTD(LEGITDOC),No
Euphotic Labs Pvt. Ltd.,No
Supertails,No
Project Rangeet,No
Good Earth Alliance Digital Private Limited,No
Well Played Sports Management,No
Edukemy Services Pvt. Ltd.,No
Suraasa (Teacher Worldwide Private Limited),No
Clairco,Yes
ITILITE,Yes
Defy Aerospace Pvt. Ltd.,No
Payify Technologies Pvt Ltd,No
Astrek Innovations pvt ltd,No
SmartClean Technologies,Yes
MusicMuni Labs Private Limited,No
Everwell Health Solutions,No
Construction Mitra Technologies Private Limited,No
Patro Digitech India Private Limited,No
Sciative Solution Private Limited,Yes
Whrrl,No
Half Dome Internet Pvt Ltd,No
St. Jude Herbals Private Limited,No
Shardings,No
Shoppinpal,Yes
BuyNxt,No
Logibricks Technologies Pvt Ltd,Yes
AdPushup,Yes
Sciffer Analytics Private Limited,Yes
MAIBRAIN,No
Reelo,No
Vidyutm Mobility,No
HAPPY - a digital lending Fintech,No
Housewise,No
CARS24 Services Pvt Ltd,Yes
Astrogate Labs,Yes
Everwell Health Solutions Pvt Ltd,No
Karza Technologies,Yes
EasyEcom,Yes
Paisagrowth,Yes
KindClick,No
Scogo Networks,Yes
Irillic,Yes
Anscer Robotics,No
EpVi new technological Epoch Pvt Ltd,No
Unschool,No
DeepBrainz AI,No
Uznaka Solutions Private Limited,No
Market Pulse Technologies,No
Enlite Research,Yes
santhnaidu & associates,No
XaaSOn Inc,No
Zippy Fitness Inc,No
Shortfundly,No
RACEnergy,No
KisaanSe,No
Outbuds,No
Pankhtech india Pvt Ltd,No
Nuverpo technologies,Yes
Uni offyline zone Pvt Ltd,No
NetCredential,No
Crammn,No
Oflox,No
Lumiq.ai,Yes
VPTech,No
Hyper Stealth Technologies Pvt Ltd,No
KARAT-NGO,Yes
Malhari Projects,No
R Buy Solutions Pvt Ltd,No
Tardid Technologies Pvt Ltd,Yes
SRAVS ONLINE SOLUTIONS(OPC) PRIVATE LIMITED,No
Kareeb.in,No
terrain infratech,No
CloudOptimo,Yes
DrapCode,No
Pristyn Care (GHV Advanced Care PVT LTD),No
FlatMatch Technologies Pvt Ltd,No
Jai Kisan,No
Procial,No
Brainfast HIndu Industries opc pvt ltd,No
Owner,Yes
Dabblefit Pvt Ltd,No
AssessHub,Yes
CEREBROSPARK INNOVATIONS LLP,No
PredictiVu Private Limited,No
aabo - 1008 Digital Health Pvt Ltd,No
roc data,No
SubMastery Edtech Private Limited,No
sploot,No
MentorMind,No
BASIC Home Loan,Yes
Mancare enterprises Pvt Ltd,Yes
Minus Zero,No
Sailax Global Technologies Pty Ltd,No
INNOVATRIX WIRELESS PVT. LTD.,No
Pyxid Solutions Private Limited,No
i3 Systems,Yes
NinthSem,No
LKS Production,Yes
Cloud Tailor (Tailortech Pvt. Ltd.),No
CoffeeMug.ai (Dalgona Technologies Pte. Ltd.),Yes
Yappes.com,No
Doctunes Audiotech Private Limited,No
Toch.ai,Yes
AGC India,No
Style4sure,No
AxleWeb Technologies,No
Treat at Home Healthcare,No
Shoppre.com,No
Green Energy Center,Yes
DNC INFRASTRUCTURE PVT LTD,Yes
Sightdreamservices,No
Thrash The Trash,No
Apna Business,No
Jansuvidhajanausdhiecom,No
Koskii,No
Vibranium™,No
TruckSuvidha,Yes
Sarvodaya Infotech Pvt Ltd,No
Admisure,No
Byloapp,No
MagTapp Technologies,No
Inizent Internet Solutions Pvt Ltd,No
S.S.ENTERPRISES,No
Sushant Kumar Ventures Private Limited,No
Spacebix,No
PPLFY Analytics Pvt. Ltd.,No
TechBairn,No
Atithiashray,No
Navette,No
Rajasthan Studio (Slo Mo Experiences Private Limited),No
Swirl,Yes
Losers,No
Kristal,No
Typof Technologies Private Limited,No
Onmarket software private limited,No
Personifwy,Yes
DigiOrganon,No
Headway.ai,Yes
Melwah,No
JARVIS LABS AI PRIVATE LIMITED,No
Tractor Junction,No
Kriyo,No
Merkle Science,Yes
Bittron Labs Private Limited,No
ekincare,No
JERRY,No
Jai Kisan,No
Tarrakki,No
Bankit Services Private Limited,No
Vetri Vinayaga,Yes
EDUMPUS PORTAL LLP,No
Minocular(Bluebanyan Technologies Pvt. Ltd.,Yes
PublicPosts,No
AVES School of Arts Pvt Ltd,No
Helficare Private Limited,No
Utanon,No
Ang Group,No
CellStrat AI Lab,No
GOSHARED - Shared Mobility Service,No
Prezence Solutions Private Limited,No
Vaince Cosmetics Pvt Ltd,No
KAREWISE,No
LivNSense Technologies Pvt Limited,Yes
Earnvestt Technologies Private Limited,No
BlockSurvey,No
Twin Health Inc,No
Posta,No
yangpoo,No
Get Set Visa,No
Machenn Innovations Pvt. Ltd.,No
M/s First Engineers,No
Okie Ventures,No
Phonon Communications Pvt Ltd (Beewrks),No
Stackup Technology Solutions Pvt. Ltd,No
Inscribe Magazine,No
Eigenlytics Data Solutions,No
Fitlancerr,No
Sahil Sood,No
Okie Ventures Pvt Ltd,No
Hunar Gully,No
Udyog Buddy Advisory LLP,No
Uncap Research Labs,No
Rucept,No
Moox Events Pvt Ltd,No
Vlinder Labs Pvt Ltd,Yes
Objectify Technologies,No
Pegasus Networks,No
Listyaan,No
KPteck Advanced Innovations Pvt Ltd,No
Lighthouse,No
Bolesale Technologies Private Limited,No
Buzzlink Studios,No
Partner Growth Technologies LLP,No
LFG Cares Helathcare PVT Ltd,No
Neuralday Technologies,No
Beyond Seek Technologies Pvt Ltd,No
MatchLog Solutions Private Limited,No
Supersourcing,Yes
Ice Labs,No
Work Companion,No
Rhem RealTech Private Limited,No
NearDish LLP,No
IMGSY Pvt. Ltd.,No
mesh.ai,No
Renown,No
Workforce Next Pvt Ltd,No
Igauge Labs Pvt Ltd,No
Semaj industrial solutions,Yes
Shree Vaidikvidha Private Limited,No
Teslaind Technology,No
DTown Robotics,Yes
Green Youth Advocacy Foundation,Yes
Vlinder Labs Pvt Ltd,No
PracticeLeague Legaltech Pvt Ltd,No
Casemetics,No
AATAWALA Technologies Pvt Ltd,No
Prime Softech Solutions Pvt. Lts.,No
1Page,Yes
Techivox Pvt Ltd (www.BakeHoney.com),No
Weekendly,No
Ritik,No
Rgyan,No
Holo Shiksha powered by Holo Abdul,Yes
Staymaker Hospitality Pvt Ltd,No
Pink Bird,No
AgriVijay (Renewagri Om Ecommerce Pvt Ltd),No
Xane AI,Yes
PS SMART DIGITAL,No
Varlyq Technologies Private Limited,No
DECIML,No
Avidia Labs,No
Saras Solutions India Private Limited,No
Aeliya Marine Tech Pvt. Ltd.,No
Vagad Agro Services,No
Quicko,Yes
Bullwork Mobility Pvt Ltd,No
EDMOUNT INDIA,No
MEGHVAAHAN INDIA PRIVATE LIMITED,No
Bidfrail Technologies Pvt Ltd,No
Pace Robotics (Constrobot Robotics Pvt Ltd),Yes
NexGeN Inventive Information Technology Pvt Ltd,No
Life Master's League,No
consPeer,Yes
WIMWIsure,No
i3systems (,Yes
PERCEIVED DESIGN (OPC) PRIVATE LIMITED,No
TYA Suite,No
CRYPTO WORLD,Yes
dreamsketch,No
SpotKwik,No
Postoplan,Yes
Avanexatechnologies,Yes
Hallmark Services,No
Shopmebook.com,No
Vanuston Intelligence Pvt Ltd,No
InvestigateIT Online Services,No
Jumbish Creations Pvt Ltd,No
no,No
CRAD Innovation - Creatics LLP,No
Yaanam Infotech Pvt Ltd,No
Yallmmadevi,Yes
virtuallexpo,No
ultimate Innovative Products pvt. ltd.,No
Spaising Technologies LLP,No
LEARNFINITE EDUTECH PRIVATE LIMITED,No
GoPaani,No
Ossus Biorenewables,No
GREENFINITY SYSTEMS PRIVATE LIMITED,No
isaykids,No
HELIOSVENTO POWER INFRA OPC PVT LTD,No
Home,Yes
Jal Technologies Pvt Ltd,Yes
Codemire,No
SPECTADROME VENTURES LLP,No
VIZON,No
EMPULS,No
foton.ai,No
Adventum Student Living Private Limited,No
Appinventiv Technologies,No
Zero Cow Factory,No
SCIKEY,Yes
BabyOrgano,No
Marketin In Asia,No
Muks Robotics,Yes
Info Grow,No
EDZUMO,No
RCSK builders pvt ltd,Yes
Business Factory,No
Verat Medicals and chemical Nigeria Limited,No
GrainAnalyser,No
Intelibim Solutions,Yes
Greenovative Foods Pvt. Ltd.,No
Supolabs,No
Projexel Foundation,Yes
SAY School of Business,No
The Construction Store,No
BigSaleDeals,No
Jlm construction,No
BIWLUF & Co,No
BallotNow Pvt. Ltd.,No
CloudSEK,Yes
SMART4IR,Yes
SolworxS,No
PREPARATION247.COM,No
Global Food and Agribusiness Advisory,No
PNK Solutions Private Ltd,No
Oriflame,Yes
Smerkato,Yes
Ensologic Commerce,Yes
Samhitha Crop Care Clinics Pvt Limited,No
Zigyasaw Creations Private limited,No
Amul society,No
Segritech,No
ABC Talkies Pvt. Ltd.,Yes
Haul Automation LLP,No
Tavaga Advisory Services,No
NewRobos,No
"FuelBuddy (""Treis Solutions LLP"")",Yes
MOTO,No
Googo Gaaga Online Services Pvt ltd,No
PIL4U.IN/COM,No
SVAN Autotech Pvt. Ltd. (Garaaz),Yes
Darzi Company,No
Gramshree Agri Services Private Limted,No
Camp Automation LLP,No
Talocity Instasolution Private Ltd,Yes
TechVariable Private Limited,No
The Local Market and Kitchen,No
Smarterz Lab Private Limited,No
Innovigo Technologies Private Limited,Yes
D2O Learning Private Limited,No
Boltzmann Labs Pvt Ltd,Yes
Blipstech India Private limited,No
ShowMyParking - India's Award Winning First Public Smart Parking Application,No
UrbanMatrix Technologies Private Limited,Yes
Trucknetic (Savir Logistics Private Limited),No
Dezinebox,No
Edufiq Technologies Pvt. Ltd.,No
Edufiq Technologies Pvt. Ltd.,No
Edufiq Technologies Pvt. Ltd.,No
Edufiq Technologies Pvt. Ltd.,No
ShoppinPal,Yes
curobox,Yes
BigHaat.com,No
Ràhúl,No
Muuzzer (Brand of Wonderquill Business Solutions Pvt Ltd,No
Chara Technologies Pvt Ltd,Yes
New Young Nigerian Technology,No
Wisemindz Ventures Pvt. Ltd,No
Pickok India pvt ltd,Yes
Urban Agri Farms,No
ECOSTP Technologies (P) Ltd,Yes
Trackkers,No
Askjesusgives,No
WildHeart Concepts,No
Chargigo,Yes
Algorithmic Biologics Pvt Ltd,Yes
KidEx Venture Private Limited,No
MayaMD Technologies Pvt Ltd,No
Pathshala,No
Hesa Enterprises Private Limited,No
Digantara,Yes
Vayana Network,Yes
Helopep Technologies,No
Tango Eye,Yes
QeApps,No
Masai School,No
Ddaarc pickup service Pvt Ltd,No
apna godam (Singodwala Warehousing and Logistics Pvt Ltd),No
Aerchain,Yes
Spillbox Innovation LLP,No
Mykare Health,No
Mittals Innovative Solutions Pvt. Ltd. DigiOwner,No
UPDEED,No
Speedypandit.com,No
UnivLabs Technologies Pvt. Ltd.,No
Fight For Fitness,No
Aastha Biocare Pvt Ltd,No
Enthu.AI,Yes
VButton Technologies Pvt Ltd,No
ShowMyParking - India's Award Winning First Public Smart Parking Application,No
Sustainability and better Management of Energy,No
Litt energies,No
Tobox Ventures Private Limited (GoKhana),No
OPOD Media LLP,No
Cognisite Technologies,Yes
Eazymed Technologies Pvt Ltd,No
Insane AI,No
Accelo,No
Engage,No
Travotel,No
GrabYourSkill (Styks Studios Private Limited),No
Swaadhi Inc,No
EdQart,No
Minkville Innoventures Private Limited,No
SmallTownTalks,No
Be Snugg,No
OkCredit,Yes
SPEQTA TAXSOFT & COMPLIANCE LLP,No
Devic Earth pvt ltd,Yes
ZapApps.io,No
Hesa enterprises pvt ltd,No
hBits Proptech Private Limited,No
Leadership Boulevard Pvt. Ltd.,Yes
Moras Kitchen,No
Unik Printers Pvt Ltd - getquickprints,No
Travel Buddy,Yes
Trainn,Yes
JJ Tax,No
www.wcbrobotics.com,Yes
Konshius Thinking,No
TekUncorked,No
mangalamjobs,No
Quink Post,No
Hyper Lychee Inc,No
GMAC INTELLIGENCE,No
AllRide Limited,No
PREDEL BUSINESS SERVICES PVT LTD,No
PayAid Payments Private Limited,No
Json API App,No
Aadvika Engineers,Yes
Divnishat teleradiology and CME Pvt Ltd,No
Subtl.ai,Yes
Ortigan Technologies,No
OUTDO CART,No
Fingo app Pvt Ltd,No
Gim Info Solutions Private Limited,Yes
SuryaLogix Pvt Ltd,No
Zama Organics,Yes
GoDhiyo Solutions Pvt Ltd (Dhiyo.ai),No
EME,No
MINDIA films,No
Preventifi,No
GoZero Mobility,Yes
Minimalix,No
Tradesala E-Commerce Private Limited,No
FreightFox (NimbleLogik Pvt Ltd),Yes
Skye Air Mobility,Yes
Geekster,No
Anvidha Technologies Private Limited,No
Skillslash Private Limited,No
Cyberium Infotech Pvt Ltd,No
Scalable Systems Pvt Ltd,Yes
Roompe Pvt Ltd,No
Novel Patterns,No
Merrative,No
Glamplus,Yes
OmRx India Pvt Ltd,No
Arrka Infosec Pvt Ltd,Yes
GalaxEye Space,Yes
Madhu india in e laision and contract consultant,Yes
"Upscale AI, Inc.",Yes
Indglobal Digital Pvt Ltd,No
Instoried,Yes
teqstories,No
Intellemo Adtech Pvt Ltd,No
Coredge.io India Private Limited,Yes
Jamsfy Technologies Private Limited,No
DIY.org - The Learning Community (Kyt Technologies),Yes
Podrones Logistics Private Limited,No
Mogi I/O,Yes
Bayslope Business Solutions,No
CXcherry,No
Dev Beetech India Pvt Ltd,No
EmpFly Services Pvt Ltd,No
Bluerickshaw Pvt Ltd,Yes
Winnerspitch Energy Pvt Ltd,No
Foodyyfan,No
Gamestasy Entertainment,No
Shyplite,No
HappSales Private Limited,No
BrainAlive,No
Flying Brains Innovations PVT LTD,No
Tunerlabs Consulting Private Limited,No
Subconscious AI,Yes
TechNative Consultancy Services Pvt Ltd,No
SS SUPPLY CHAIN SOLUTIONS PRIVATE LIMITED (3SC),Yes
Under Formation - Registration on COVID Hold with paid booking fees to Vakil Search Chennai,No
Under process of registration,No
Evenflow Brands Tech Pvt Ltd,No
ImaginXP,Yes
Gamatics India Pvt Ltd,No
NIRYATI,No
danamojo,Yes
Prosthétik,No
Bivocalbirds Technologies Pvt. Ltd.,No
Syntizen Technologies Pvt Ltd,Yes
CommerceIQ,Yes
Healthplix Technologies,No
Swalk Retail Pvt Ltd (CyberKart India),No
10club Pte Ltd,Yes
STEMpedia,No
Doctunes Audiotech Private Limited,No
FinanceKaart.com,No
Future Garages,No
DhiWise Pvt. Ltd.,Yes
Promodome Digital LLP,No
Mempage Technologies Private Limited,No
OTOQual Technologies,No
TRUSCHOLAR,Yes
Rafiki Inc,No
Driefcase Health-tech Pvt. Ltd.,No
Viralowl,No
GoSats,No
Marajo Technologies Pvt. Ltd.,No
Xpoodle Tech Pvt. Ltd.,No
WeMove Solutions,No
Ahammune Biosciences Private Limited,Yes
Intangles Lab,Yes
Autovoltz,No
CreatorStack Private Limited,No
Boxify,Yes
Accops Systems Private Limited,No
Petzilla Pvt Ltd,No
Galaxy Packaging,Yes
RUNOFF IRRIGATION Ltd.,No
Flash energy solutions,No
Drishte.AI Pvt Ltd,No
Attestr,No
RUNOFF IRRIGATION LTD,No
Amrut Chocolatier,No
Adurcup Technologies Private Limited,Yes
Fifth Ventricle,No
Xcelero - EdTech Aggregator,No
GULLY NETWORK RETAIL PRIVATE LIMITED,Yes
SAG TECH (Gaming Akhada),No
Ahhaa,No
Jidoka Technologies Pvt Ltd,Yes
Zippy Fitness Inc,No
MindPeers,No
Avianahvbioscience pvt ltd,No
MOCKII,No
HBITS PROPTECH PRIVATE LIMITED,No
InstaSell,No
Curatestar Designs Private Limited,No
Pràkat,Yes
StaySigned Private Limited,No
CREEK,No
Infinzi Traders Private Limited,No
Jovian,No
Apna Time Pvt Ltd,No
Snapper Future Tech,Yes
CredibleMe Pvt. Ltd,No
PROGCAP (Desiderata Impact Ventures Pvt. Ltd.),Yes
Getcm,No
Insightly Analytics Pvt Ltd,Yes
pradarbha,No
Jal Jaivik Bazaar Pvt. Ltd.,No
Recooty,No
Celebal Technologies,No
SHIELD SECURE SERVICES,No
Blind Meet (OPC) Private Limited,No
The Mango Jelly,No
Handmade Gifts,No
Guardian,No
BulkAroma,No
"ParallelDots, Inc.",Yes
Nibiaa Devices Pvt.Ltd.,No
TrayamBhu Tech Solutions Private Limited,Yes
Vyom Smart Classes Foundation,No
DIGISPARSH PVT LTD,No
Ruptok Fintech Private Limited,No
5k car care,No
VGMSecurity,No
Astitva,No
Houseboon.com,No
DietOsure Labs Pvt. Ltd.,No
Peptris Technologies Private Limited,Yes
AIBAVA Technology Solutions pvt limited,No
StockGro,No
Seedtree Collaborative,No
Housy,Yes
HTS Solutions Private Limited,No
Goprac Pvt ltd,No
NAVIKARANA MEDNOVATION PVT LTD,No
Haveli Research and Development Pvt. Ltd.,No
SchoolPad Technologies Pvt. Ltd.,No
Lamzing Technologies Private Limited,No
MARVELLMIST SYSTEMS,No
Learning Collab Private Limited,No
Remedbooks Technologies (OPC) Pvt. Ltd.,No
Logicboots Private Limited,No
Orifinity Private Limited,No
CedCoss Technologies Private Limited,Yes
PROGMETICS EDUCATION INDIA PVT LTD,No
Moox Events Pvt Ltd,No
RFP Technologies Pvt. Ltd. (BANC),Yes
Mailmodo,Yes
Helficare Private Limited,No
Faster Fuel,No
Della Leaders Club,No
Prestige Technology,No
zingbus,No
Forest Touch Pvt Ltd,Yes
ElectriFuel Private Limited,No
EVRE,Yes
Vossle,No
My Eventz,No
Krishify,No
Prakash Vishwakarma(individual not a company or start-up),Yes
Walrus,No
Emote Electric Pvt Ltd.,No
MOXSH Overseas Educon Pvt Ltd,No
Cognitensor,Yes
ApnaKart,No
Yellow Class,No
Quleep Pvt Ltd,No
Kristal,No
Gnani.ai,No
DOTO,No
Uvik Technologies PVT LTD,No
MyVacc,No
Syrow Pvt. Ltd.,No
SP Robotic Works,Yes
Cure Plus,No
FOND,No
Salvo Agro Chemical,Yes
